TechnologyType,Parameter,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Combined Cycle CCS,FOM(2012$/MW/yr),31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448,31040.135192226448
Combined Cycle CCS,VOM(2012$/MWh),6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355,6.7900295732995355
Combustion Turbine,HR(Btu/kWh),9709.742289818336,9661.242078580482,9612.741867342627,9564.241656104774,9515.74144486692,9467.241233629065,9409.040980143642,9360.540768905788,9312.040557667933,9263.540346430082,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226,9215.040135192226
Combustion Turbine,CAPEX(2012$/MW),875913.8149556401,875913.8149556401,875913.8149556401,865243.7684833122,862333.755809041,859423.7431347697,853603.7177862274,850693.7051119561,848753.696662442,845843.6839881707,842933.6713138995,840023.6586396282,832263.6248415717,825473.5952682721,819653.5699197296,815773.5530207013,810923.531896916,807043.5149978877,804133.5023236164,801223.4896493452,798313.4769750739,795403.4643008027,792493.4516265315,789583.4389522603,786673.426277989,783763.4136037178,780853.4009294466,776973.3840304182,774063.371356147,771153.3586818759,768243.3460076046,765333.3333333334,762423.3206590621,759513.3079847909,755633.2910857626,752723.2784114913,749813.2657372202
Combustion Turbine,FOM(2012$/MW/yr),6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355,6790.0295732995355
Combustion Turbine,VOM(2012$/MWh),12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995,12.610054921841995
Nuclear,HR(Btu/kWh),10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162,10165.644275454162
Nuclear,CAPEX(2012$/MW),6177956.90747782,6177956.90747782,6177956.90747782,6177956.90747782,6177956.90747782,6177956.90747782,6177956.90747782,6177956.90747782,6177956.90747782,6144976.763836079,6111996.620194339,6079016.476552598,6046036.332910858,6014026.193493874,5981046.049852134,5948065.906210393,5915085.762568653,5882105.618926912,5849125.4752851715,5817115.335868187,5784135.192226447,5751155.048584706,5718174.904942966,5685194.761301225,5653184.621884242,5620204.478242502,5587224.334600761,5554244.19095902,5521264.0473172795,5488283.9036755385,5456273.764258555,5423293.620616815,5390313.476975074,5357333.333333333,5324353.189691593,5292343.05027461,5259362.906632869
Nuclear,FOM(2012$/MW/yr),92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226,92150.40135192226
Nuclear,VOM(2012$/MWh),1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153,1.940008449514153
